line,SVG_score,canopy_height,canopy_volume_index,canopy_coverage,ExGR,NGRDI
PI363326,2.426269281,0.347449692,0.422078484,0.16751232,0.175151483,0.113344665
PI363330,2.945460055,0.362374097,0.483628993,0.181086401,0.229509254,0.133192659
PI363332,2.410204078,0.303953734,0.310726288,0.14921443,0.187085682,0.111486799
PI363333,2.566415807,0.319197251,0.38798641,0.168638814,0.182272015,0.111812655
PI363334,2.949981561,0.345927719,0.454908635,0.184756553,0.191162199,0.120358212
PI363341,3.083383927,0.362104629,0.491378878,0.189105467,0.214477195,0.118209878
PI363346,2.65416367,0.326351791,0.385594234,0.172765903,0.160292054,0.10936501
PI363354,3.291697515,0.401423533,0.556166067,0.18712014,0.198537263,0.116143183
PI363358,3.398557863,0.396003501,0.583000525,0.191190572,0.188796906,0.118118083
PI363359,3.244534392,0.365721101,0.561260671,0.207118811,0.212996411,0.129028047
PI363360,3.131593156,0.327313133,0.495723852,0.206219016,0.199282447,0.119136104
PI363362,3.6126421,0.336878465,0.511649929,0.20642174,0.221384261,0.131534988
PI363374,2.429411377,0.324228217,0.411686214,0.181941783,0.184842325,0.111490934
PI363377,2.732189902,0.346216338,0.475310756,0.195367526,0.201902026,0.124050857
PI363380,2.662301876,0.32887003,0.424371902,0.181877288,0.178797122,0.116528257
PI363381,3.492367092,0.35395474,0.569915127,0.227124524,0.22237488,0.131021033
PI363391,2.60232449,0.29843119,0.29467389,0.142923003,0.144389461,0.101690362
PI363407,3.106845872,0.397090694,0.585900491,0.194169019,0.199566535,0.123357673
PI363416,2.94958968,0.327464262,0.465413512,0.203804595,0.194808507,0.121666082
PI363419,3.034361579,0.346444659,0.503778496,0.205196763,0.215310616,0.127051921
PI363459,2.663867895,0.338761959,0.437477586,0.174806577,0.177218164,0.115367585
PI363474,3.091323444,0.396266297,0.577676343,0.210576478,0.216582394,0.12823822
PI363475,2.090159474,0.281532628,0.322628696,0.156202456,0.16876196,0.110898343
PI363484,2.599134158,0.346027047,0.407411215,0.159421142,0.223656517,0.124228989
PI363485,2.666023845,0.332626177,0.454485695,0.180705636,0.192343528,0.122274373
PI363493,2.705792694,0.330830344,0.427155831,0.178019646,0.189638846,0.119437999
PI363494,3.030689323,0.379449028,0.542273294,0.189292744,0.198997095,0.121629667
PI363506,3.213260753,0.333351165,0.456522753,0.185974856,0.202753456,0.126426925
PI363514,3.456736881,0.383367706,0.545090375,0.19021568,0.206144855,0.127556872
PI363516,2.592970731,0.310317305,0.420464706,0.183817746,0.184852349,0.120616999
PI363517,3.066064782,0.363615036,0.549501368,0.207667682,0.21097115,0.126019214
PI363523,3.348359306,0.378925884,0.602139896,0.218624273,0.21595037,0.124533407
PI363565,2.607653633,0.309083823,0.328422959,0.160586695,0.163420246,0.102150243
PI363566,2.470513042,0.309906053,0.350506794,0.167550492,0.182228367,0.111928434
PI363585,2.493234127,0.319004215,0.390808483,0.164679678,0.195260469,0.119825056
PI363591,3.119928099,0.394021797,0.552311815,0.18886026,0.211113049,0.118826253
PI363592,3.057363166,0.357300876,0.408571407,0.178986492,0.20755611,0.130041577
PI363595,2.892093357,0.353200564,0.471627013,0.186557721,0.196891344,0.125367822
PI363596,1.847051949,0.262826425,0.264297567,0.123376328,0.177314145,0.117030305
PI363597,2.339537526,0.298031891,0.295106441,0.140108015,0.15763882,0.102628908
PI363600,2.911972504,0.340014411,0.469016161,0.187775985,0.189076881,0.121360617
PI363604,3.236529118,0.346930212,0.482784029,0.190623453,0.186821693,0.114561066
PI363605,2.598316314,0.348840323,0.393706848,0.160159293,0.172799029,0.106573529
PI363613,2.931132354,0.378726294,0.540953146,0.198429645,0.225801242,0.131744279
PI363615,2.445306892,0.299745574,0.356778082,0.166839957,0.158676394,0.116556976
PI363635,3.103003094,0.36278426,0.5132811,0.192905335,0.206634964,0.129231617
PI363645,3.127268382,0.354325443,0.532936555,0.207470806,0.199778275,0.117740834
PI363647,2.705932542,0.340128076,0.421924721,0.174661625,0.201205286,0.12929589
PI363657,2.559720043,0.294044972,0.342253584,0.154118739,0.18113377,0.116648274
PI363668,2.607151714,0.327313636,0.367932375,0.155402651,0.180148176,0.112982836
PI363678,2.796575198,0.319743847,0.352647379,0.16948706,0.168046044,0.112801635
PI363696,2.63134215,0.319515635,0.370735156,0.161127875,0.170572117,0.109048986
PI363699,3.409682587,0.366663919,0.527601319,0.200092941,0.214006525,0.131148896
PI363763,3.176014305,0.32220353,0.434138916,0.194177611,0.211774149,0.12737621
PI363766,2.901296869,0.354292027,0.414284629,0.167197803,0.168806397,0.106728118
PI363778,3.048739488,0.360441177,0.440664089,0.172529838,0.177105418,0.113672036
PI363779,2.806906438,0.357957739,0.539830358,0.206936874,0.208602615,0.123323521
